in:Values,out:p1,out:p2,out:p3,out:p4,out:ResponseFactor,out:Frequency01,out:Frequency02,out:Frequency03,out:ABS Elastic Deflections,,
1,2.9428,9.00715,6.64255,0.332635,1.642176,5.828598,5.837281,7.31234,0.003197,,
2,6.8364,9.62945,11.80575,0.166015,3.111903,3.387579,3.45741,3.542315,0.027502,,
3,4.8652,9.39985,8.28335,0.367495,1.56893,4.659029,4.661601,5.873764,0.004901,,
4,2.4484,7.94175,11.54955,0.238825,3.118,5.314996,5.328518,5.363674,0.008187,,
5,6.3796,8.46115,8.70545,0.249055,2.933417,4.994951,4.995842,6.157943,0.007639,,
6,3.7436,6.98485,9.34105,0.283855,2.1236,5.663027,5.672281,7.101853,0.004541,,
7,9.6164,9.80025,9.04565,0.359875,1.380488,3.835832,3.83727,4.861367,0.008366,,
8,5.3316,9.62035,11.03505,0.123145,6.514068,3.243433,3.258943,3.259668,0.033282,,
9,9.3324,9.16605,7.08425,0.300925,1.457672,4.662306,4.668799,5.896437,0.006279,,
10,6.9628,5.08715,7.23965,0.222955,1.90095,6.975366,6.992075,8.740891,0.00285,,
11,4.702,5.78785,9.42715,0.290665,1.681835,5.883732,5.900921,7.333417,0.00396,,
12,3.2548,8.39115,7.91235,0.319615,2.804613,5.556778,5.558336,6.964664,0.003792,,
13,4.69,5.76755,8.09505,0.272335,2.145996,6.483061,6.495706,8.124714,0.002946,,
14,5.442,7.12835,10.18595,0.366055,1.964708,4.721566,4.729559,5.963387,0.004999,,
15,7.9212,8.87975,10.19505,0.385975,1.252457,3.902991,3.905309,4.943335,0.007309,,
16,3.97,9.80725,10.87545,0.288865,2.011422,4.401167,4.403666,5.142163,0.010174,,
17,4.882,11.21425,10.46595,0.174175,3.986889,3.749815,3.815097,3.828419,0.022941,,
18,8.8396,11.68255,11.06445,0.171235,2.553951,2.859679,2.891119,2.902318,0.039779,,
19,6.1172,11.59225,5.96215,0.184105,2.947827,5.038161,5.405869,5.441208,0.00881,,
20,2.6684,5.80955,9.20875,0.296095,1.988767,6.412376,6.429271,8.029833,0.003104,,
21,5.9844,9.09255,7.85565,0.340555,1.546286,4.783482,4.786818,6.033007,0.005007,,
22,2.4684,10.58285,8.07755,0.123445,12.335495,4.957759,5.006408,5.064689,0.014077,,
23,4.4444,5.04165,7.98935,0.294805,1.125907,6.86306,6.880893,8.603058,0.00224,,
24,4.046,8.86365,9.74635,0.362125,1.824136,4.570544,4.57246,5.757127,0.005619,,
25,4.0804,8.28545,10.56395,0.250885,2.539053,4.997612,5.005259,5.41055,0.008539,,
26,6.102,10.90345,5.67095,0.212125,2.75193,5.551139,5.578907,5.610688,0.007099,,
27,2.426,8.19865,9.61545,0.290845,2.428927,5.438742,5.443407,6.804779,0.005275,,
28,6.8892,5.28035,9.36905,0.279715,1.47302,5.7602,5.781744,6.952078,0.004405,,
29,4.9364,9.37535,9.39705,0.396145,1.786833,4.2849,4.284932,5.408467,0.005461,,
30,4.9812,11.48585,10.04245,0.245245,3.169166,4.233468,4.237084,4.285597,0.015012,,
31,2.794,8.14545,10.09985,0.321325,1.789216,5.079936,5.085376,6.375263,0.005407,,
32,7.9764,11.48095,9.77715,0.156685,3.186627,3.179323,3.21352,3.251128,0.032398,,
33,5.486,11.20725,8.93575,0.380785,1.274888,3.99151,3.995531,5.046644,0.007894,,
34,7.1948,11.06865,11.51595,0.327325,1.565384,3.497958,3.49867,4.27297,0.015265,,
35,3.9412,10.39665,10.50585,0.398545,1.797753,3.97007,3.970256,5.009357,0.00745,,
36,3.5348,9.66935,5.04305,0.214795,2.553016,6.945468,6.982799,7.518258,0.003827,,
37,9.642,6.24145,9.17095,0.306775,1.986285,4.890313,4.900752,6.188284,0.005315,,
38,8.3884,11.25695,8.76495,0.161485,3.392558,3.527999,3.621006,3.737881,0.024771,,
39,2.2164,8.98265,11.32695,0.290905,2.122187,4.838559,4.844707,5.490224,0.008054,,
40,4.5972,5.34405,11.42705,0.125395,7.746776,5.700124,6.176637,6.474372,0.007771,,
41,2.7204,9.70015,11.22265,0.335575,1.77035,4.383357,4.386448,5.509131,0.008187,,
42,8.7908,7.86475,5.56875,0.243445,1.888959,5.952897,5.966309,7.499659,0.003989,,
43,4.8076,8.86575,11.29265,0.337375,1.416922,4.215213,4.220238,5.227898,0.008585,,
44,2.7636,7.42235,8.05165,0.344365,1.31472,5.829077,5.831185,7.302566,0.00277,,
45,6.1372,8.67675,6.22185,0.236575,2.574459,5.903342,5.916329,6.964908,0.004828,,
46,2.3412,8.40585,9.51325,0.298405,2.421626,5.381145,5.384614,6.733236,0.00521,,
47,4.1588,6.94705,10.46385,0.256945,3.977708,5.399857,5.414121,5.923646,0.006347,,
48,5.7956,7.65335,9.48105,0.134365,7.888347,4.722138,4.804693,4.882427,0.014845,,
49,6.4204,10.25945,9.30185,0.286405,1.770015,4.261555,4.263813,5.093762,0.010288,,
50,4.9356,7.81505,10.28955,0.101905,12.065267,3.816156,3.82962,3.835073,0.024969,,
51,5.0948,7.24315,7.49025,0.222895,4.214647,6.236367,6.237766,7.797001,0.004558,,
52,4.6068,6.06505,8.18675,0.287755,1.946735,6.2314,6.241521,7.813657,0.003021,,
53,5.7204,8.09365,10.85445,0.202135,3.175352,4.63694,4.879241,4.890287,0.012383,,
54,2.2172,5.95515,5.18585,0.102565,11.122067,11.026079,11.042277,11.386208,0.002675,,
