in:Values,out:p1,out:p2,out:p3,out:p4,out:ResponseFactor,out:Frequency01,out:Frequency02,out:Frequency03,out:ABS Elastic Deflections
1,2.9428,9.00715,6.64255,0.332635,1.64222,5.828598,5.837281,7.312337,0.003197
2,6.8364,9.62945,11.80575,0.166015,3.111903,3.387579,3.45741,3.542315,0.027502
3,4.8652,9.39985,8.28335,0.367495,1.569033,4.659029,4.661601,5.873763,0.0049
4,2.4484,7.94175,11.54955,0.238825,3.118351,5.314996,5.328518,5.363665,0.008187
5,6.3796,8.46115,8.70545,0.249055,2.933417,4.994951,4.995842,6.157943,0.007639
6,3.7436,6.98485,9.34105,0.283855,2.1236,5.663027,5.672281,7.101853,0.004541
7,9.6164,9.80025,9.04565,0.359875,1.380488,3.835832,3.83727,4.861367,0.008366
8,5.3316,9.62035,11.03505,0.123145,6.514068,3.243433,3.258943,3.259668,0.033282
9,9.3324,9.16605,7.08425,0.300925,1.457672,4.662306,4.668799,5.896437,0.006279
10,6.9628,5.08715,7.23965,0.222955,1.90095,6.975366,6.992075,8.740891,0.00285
11,4.702,5.78785,9.42715,0.290665,1.681835,5.883732,5.900921,7.333417,0.00396
12,3.2548,8.39115,7.91235,0.319615,2.804613,5.556778,5.558336,6.964664,0.003792
13,4.69,5.76755,8.09505,0.272335,2.145996,6.483061,6.495706,8.124714,0.002946
14,5.442,7.12835,10.18595,0.366055,1.964735,4.721565,4.729559,5.963387,0.004999
15,7.9212,8.87975,10.19505,0.385975,1.252717,3.902991,3.905309,4.943335,0.007309
16,3.97,9.80725,10.87545,0.288865,2.011422,4.401167,4.403666,5.142163,0.010174
17,4.882,11.21425,10.46595,0.174175,3.986889,3.749815,3.815097,3.828419,0.022941
18,8.8396,11.68255,11.06445,0.171235,2.553951,2.859679,2.891119,2.902318,0.039779
19,6.1172,11.59225,5.96215,0.184105,2.947832,5.038172,5.405869,5.441208,0.008809
20,2.6684,5.80955,9.20875,0.296095,1.989194,6.412376,6.429271,8.029833,0.003105
21,5.9844,9.09255,7.85565,0.340555,1.546468,4.783482,4.786818,6.033007,0.005007
22,2.4684,10.58285,8.07755,0.123445,12.335495,4.957759,5.006408,5.064689,0.014077
23,4.4444,5.04165,7.98935,0.294805,1.126002,6.86306,6.880893,8.603058,0.00224
24,4.046,8.86365,9.74635,0.362125,1.823621,4.570544,4.57246,5.757126,0.005618
25,4.0804,8.28545,10.56395,0.250885,2.54026,4.997612,5.005259,5.410552,0.00854
26,6.102,10.90345,5.67095,0.212125,2.752466,5.551174,5.578907,5.610688,0.007099
27,2.426,8.19865,9.61545,0.290845,2.428927,5.438742,5.443407,6.804779,0.005275
28,6.8892,5.28035,9.36905,0.279715,1.472105,5.7602,5.781744,6.952072,0.004405
29,4.9364,9.37535,9.39705,0.396145,1.786833,4.2849,4.284932,5.408467,0.005461
30,4.9812,11.48585,10.04245,0.245245,3.169439,4.233468,4.237084,4.28557,0.015011
31,2.794,8.14545,10.09985,0.321325,1.789253,5.079936,5.085376,6.375263,0.005407
32,7.9764,11.48095,9.77715,0.156685,3.185142,3.179324,3.213552,3.251076,0.0324
33,5.486,11.20725,8.93575,0.380785,1.274671,3.99151,3.995531,5.046644,0.007894
34,7.1948,11.06865,11.51595,0.327325,1.565384,3.497958,3.49867,4.27297,0.015265
35,3.9412,10.39665,10.50585,0.398545,1.796091,3.970069,3.970256,5.009356,0.007449
36,3.5348,9.66935,5.04305,0.214795,2.553016,6.945468,6.982799,7.518258,0.003827
37,9.642,6.24145,9.17095,0.306775,1.986861,4.890313,4.900752,6.188284,0.005316
38,8.3884,11.25695,8.76495,0.161485,3.391733,3.528001,3.621028,3.737911,0.024766
39,2.2164,8.98265,11.32695,0.290905,2.122836,4.838559,4.844707,5.490215,0.008054
40,4.5972,5.34405,11.42705,0.125395,7.746776,5.700124,6.176637,6.474372,0.007771
41,2.7204,9.70015,11.22265,0.335575,1.77035,4.383357,4.386448,5.509131,0.008187
42,8.7908,7.86475,5.56875,0.243445,1.888959,5.952897,5.966309,7.499659,0.003989
43,4.8076,8.86575,11.29265,0.337375,1.416922,4.215213,4.220238,5.227898,0.008585
44,2.7636,7.42235,8.05165,0.344365,1.314817,5.829076,5.831186,7.302565,0.00277
45,6.1372,8.67675,6.22185,0.236575,2.589442,5.903342,5.916329,6.964746,0.004828
46,2.3412,8.40585,9.51325,0.298405,2.418419,5.381146,5.384614,6.733235,0.00521
47,4.1588,6.94705,10.46385,0.256945,3.972393,5.399857,5.414121,5.923679,0.006347
48,5.7956,7.65335,9.48105,0.134365,7.888347,4.722138,4.804693,4.882427,0.014845
49,6.4204,10.25945,9.30185,0.286405,1.769508,4.261555,4.263813,5.093756,0.010287
50,4.9356,7.81505,10.28955,0.101905,12.065267,3.816156,3.82962,3.835073,0.024969
51,5.0948,7.24315,7.49025,0.222895,4.216627,6.236367,6.237766,7.796998,0.004557
52,4.6068,6.06505,8.18675,0.287755,1.946434,6.2314,6.241521,7.813657,0.003021
53,5.7204,8.09365,10.85445,0.202135,3.17537,4.636942,4.879241,4.890287,0.012382
54,2.2172,5.95515,5.18585,0.102565,11.120925,11.026079,11.042276,11.386926,0.002675
55,7.282,10.91605,6.53335,0.240865,3.113967,4.905736,4.924219,5.051293,0.008476
56,5.7348,7.85145,11.33115,0.356905,1.834705,4.261127,4.268823,5.363332,0.007494
57,9.8156,8.53185,5.81585,0.269845,2.552761,5.34162,5.354252,6.750725,0.004822
58,4.5228,10.60665,9.77925,0.227545,2.941597,4.629582,4.63212,4.702495,0.013127
59,8.186,9.93045,8.64805,0.293425,1.62221,4.223006,4.226211,5.224533,0.009479
60,2.2748,7.54695,6.78395,0.295765,1.576307,6.720695,6.724245,8.377512,0.002377
61,7.418,10.75715,7.69255,0.185695,3.747991,4.404463,4.700646,4.768109,0.014007
62,4.4644,7.37545,7.12485,0.350095,1.207772,5.807567,5.808434,7.293238,0.00244
63,4.0396,11.96885,6.92745,0.303775,1.811005,4.847654,4.863936,5.293738,0.007402
64,9.794,11.32905,7.23055,0.204535,1.809258,4.070547,4.353696,4.369765,0.014541
65,6.5292,8.51225,8.16785,0.385285,2.039786,4.624834,4.625653,5.841477,0.004169
66,7.4308,9.17585,5.14175,0.357265,0.968169,5.501627,5.518651,6.957939,0.003458
67,2.2124,11.48165,10.86145,0.137575,8.540221,3.775768,3.795128,3.800606,0.024244
68,6.5756,7.28935,6.51375,0.169375,6.084748,6.579915,6.585989,7.322681,0.00561
69,2.9756,10.61225,6.78465,0.251665,3.731958,5.733679,5.750632,6.191527,0.005769
70,4.262,7.84865,11.07635,0.392905,1.764351,4.400111,4.406871,5.558247,0.005842
71,4.302,6.04965,6.25895,0.132655,12.284773,8.466001,8.468732,9.155376,0.004061
72,2.3316,10.49745,5.56105,0.134395,9.372897,6.955391,7.51408,7.528248,0.005482
73,4.3244,10.24755,7.45035,0.292825,1.767445,5.081696,5.09077,6.081944,0.006118
74,8.4996,8.12095,8.05305,0.266215,3.120746,4.879161,4.879431,6.152372,0.006737
75,2.0788,10.89225,10.49815,0.337765,2.003169,4.389927,4.390726,5.509974,0.008253
76,8.45,8.30995,7.20465,0.111655,9.835528,4.354956,4.382066,4.392209,0.018461
77,9.0924,5.98875,11.13515,0.193975,2.312201,4.67589,4.926635,4.955022,0.010204
78,4.2724,7.62815,7.12555,0.252325,3.827585,6.262206,6.264818,7.827899,0.003712
79,8.3268,7.74575,7.61135,0.256825,3.007858,5.195151,5.195766,6.544952,0.005837
80,9.2644,9.47475,11.18555,0.251275,2.130578,3.793768,3.797769,3.896291,0.017362
81,5.2916,8.12865,8.68445,0.212695,4.237829,5.491493,5.49396,6.124762,0.007776
82,8.9132,8.07825,10.52755,0.351775,1.327795,3.998541,4.003688,5.067236,0.008093
83,8.0508,8.78805,7.51615,0.373105,1.337507,4.579565,4.582654,5.792747,0.004449
84,7.5828,7.25855,5.22295,0.235885,2.209683,6.671292,6.685328,8.372536,0.002939
