,in:p1,in:p2,in:p3,in:p4,out:ResponseFactor,out:Frequency01,out:Frequency02,out:Frequency03,out:Elastic Deflections
1,2,5,5,0.1,1.918974,14.126329,14.154742,14.349609,-1.550935
2,6,5,5,0.1,9.913561,10.255938,10.281404,10.408074,-2.913805
3,10,5,5,0.1,12.323716,8.449775,8.472363,8.572329,-4.276676
4,2,8.5,5,0.1,15.613774,8.991062,9.399718,9.985711,-3.582586
5,6,8.5,5,0.1,12.139442,6.631554,6.91187,7.294587,-6.555245
6,10,8.5,5,0.1,7.577003,5.493721,5.719486,6.018007,-9.527904
7,2,12,5,0.1,11.380705,6.905552,7.345797,7.980282,-5.366399
8,6,12,5,0.1,6.824299,5.198521,5.508597,5.99189,-9.499485
9,10,12,5,0.1,4.16114,4.339249,4.590911,4.991909,-13.632569
10,2,5,8.5,0.1,14.303456,8.891947,9.195375,9.694996,-3.637504
11,6,5,8.5,0.1,11.854432,6.561382,6.768085,7.098045,-6.663962
12,10,5,8.5,0.1,7.711942,5.436825,5.602376,5.863136,-9.690421
13,2,8.5,8.5,0.1,17.162729,5.206584,5.229942,5.257037,-12.600063
14,6,8.5,8.5,0.1,11.994772,3.765804,3.784933,3.801184,-23.947775
15,10,8.5,8.5,0.1,7.073233,3.098638,3.115057,3.127463,-35.295486
16,2,12,8.5,0.1,18.209778,3.988707,4.003015,4.015792,-21.627275
17,6,12,8.5,0.1,7.608177,2.882026,2.898378,2.900955,-41.075818
18,10,12,8.5,0.1,30.520834,2.37064,2.385513,2.386044,-60.524359
19,2,5,12,0.1,9.478892,6.783117,7.099624,7.67891,-5.413419
20,6,5,12,0.1,5.269996,5.105185,5.335254,5.750851,-9.594058
21,10,5,12,0.1,3.933784,4.261461,4.449905,4.787695,-13.778275
22,2,8.5,12,0.1,15.365796,3.962881,4.025496,4.026721,-21.598294
23,6,8.5,12,0.1,6.425425,2.862992,2.908827,2.913218,-41.018549
24,10,8.5,12,0.1,25.745096,2.354892,2.392668,2.395901,-60.438808
25,2,12,12,0.1,14.1844,2.683913,2.706027,2.723569,-48.966963
26,6,12,12,0.1,20.619074,1.938224,1.954399,1.967964,-93.396537
27,10,12,12,0.1,8.338072,1.594018,1.607381,1.618787,-137.826115
28,2,5,5,0.25,0.167022,20.721415,21.276142,22.079176,-0.565689
29,6,5,5,0.25,0.184173,17.053242,17.509214,18.166521,-0.835051
30,10,5,5,0.25,0.20534,14.827218,15.223318,15.793118,-1.104412
31,2,8.5,5,0.25,1.264106,10.213184,10.881659,12.159476,-2.237512
32,6,8.5,5,0.25,1.532097,8.473401,9.026167,10.081949,-3.254864
33,10,8.5,5,0.25,1.560365,7.398268,7.880023,8.799767,-4.272216
34,2,12,5,0.25,2.064954,7.000988,7.481119,8.467132,-4.708327
35,6,12,5,0.25,1.615417,5.850366,6.250534,7.071729,-6.760324
36,10,12,5,0.25,1.177485,5.127615,5.477828,6.19621,-8.812321
37,2,5,8.5,0.25,1.45322,9.627082,10.82655,11.251185,-2.300841
38,6,5,8.5,0.25,1.426558,7.986731,8.981355,9.330584,-3.345036
39,10,5,8.5,0.25,1.294201,6.973216,7.841282,8.144852,-4.389231
40,2,8.5,8.5,0.25,3.900176,7.916623,8.107375,8.383322,-3.877756
41,6,8.5,8.5,0.25,2.641634,6.508036,6.66417,6.888981,-5.739263
42,10,8.5,8.5,0.25,2.413956,5.655321,5.790657,5.985072,-7.60077
43,2,12,8.5,0.25,2.59276,5.705559,6.470476,6.538718,-7.940304
44,6,12,8.5,0.25,1.452183,4.39308,4.709803,5.335289,-11.657158
45,10,12,8.5,0.25,1.09161,3.82652,4.101327,4.64329,-15.37401
46,2,5,12,0.25,2.370404,6.451397,7.510308,7.655435,-4.956323
47,6,5,12,0.25,1.741887,5.390597,6.275718,6.394511,-7.102638
48,10,5,12,0.25,1.819965,4.72445,5.500248,5.603248,-9.248952
49,2,8.5,12,0.25,2.370222,5.143425,5.531715,6.08339,-8.261376
50,6,8.5,12,0.25,1.504974,4.248278,4.567331,5.019602,-12.134154
51,10,8.5,12,0.25,1.07016,3.700611,3.977715,4.370175,-16.006932
52,2,12,12,0.25,2.25998,4.412503,4.490862,4.610847,-13.123876
53,6,12,12,0.25,2.083095,3.622845,3.686354,3.783384,-19.54364
54,10,12,12,0.25,1.46497,3.146144,3.200911,3.284505,-25.963405
55,2,5,5,0.4,0.052272,28.48101,29.72617,30.006763,-0.330051
56,6,5,5,0.4,0.054112,24.661421,25.741308,26.006584,-0.438378
57,10,5,5,0.4,0.056019,22.055548,23.022142,23.271347,-0.546706
58,2,8.5,5,0.4,0.188623,12.871905,13.602213,15.151948,-1.490562
59,6,8.5,5,0.4,0.277416,11.193089,11.827754,13.174555,-1.972276
60,10,8.5,5,0.4,0.65338,10.03609,10.604928,11.812046,-2.453991
61,2,12,5,0.4,1.155965,8.33097,8.790362,9.82009,-3.608271
62,6,12,5,0.4,1.061715,7.273103,7.673953,8.572394,-4.742372
63,10,12,5,0.4,0.856218,6.537104,6.897269,7.704485,-5.876474
64,2,5,8.5,0.4,0.224093,11.531782,13.529777,13.95316,-1.62447
65,6,5,8.5,0.4,0.681745,10.027586,11.764411,12.133211,-2.147966
