,in:p1,in:p2,in:p3,in:p4,out:ResponseFactor,out:Frequency01,out:Frequency02,out:Frequency03,out:Elastic Deflections
1,2,5,5,0.1,1.918974,14.126329,14.154742,14.349609,-1.550935
2,4.666667,5,5,0.1,3.641259,11.174804,11.201366,11.342768,-2.459516
3,7.333333,5,5,0.1,14.925781,9.531781,9.556207,9.671831,-3.368095
4,10,5,5,0.1,12.323716,8.449775,8.472363,8.572329,-4.276676
5,2,7.333333,5,0.1,10.19861,10.06122,10.445251,10.858502,-2.991913
6,4.666667,7.333333,5,0.1,15.307874,8.018331,8.307709,8.565568,-4.688346
7,7.333333,7.333333,5,0.1,12.462033,6.861771,7.102787,7.297008,-6.384779
8,10,7.333333,5,0.1,10.480007,6.094013,6.304665,6.46413,-8.081212
9,2,9.666667,5,0.1,13.225493,8.172088,8.599356,9.231866,-4.158377
10,4.666667,9.666667,5,0.1,10.044124,6.581182,6.906241,7.39632,-6.404636
11,7.333333,9.666667,5,0.1,8.009849,5.658731,5.930407,6.333924,-8.650895
12,10,9.666667,5,0.1,6.067057,5.039204,5.277064,5.626954,-10.897154
13,2,12,5,0.1,11.380705,6.905552,7.345797,7.980282,-5.366399
14,4.666667,12,5,0.1,8.603476,5.621417,5.961876,6.48495,-8.121789
15,7.333333,12,5,0.1,5.594209,4.858261,5.144699,5.595528,-10.877179
16,10,12,5,0.1,4.16114,4.339249,4.590911,4.991909,-13.632569
17,2,5,7.333333,0.1,9.46725,9.985256,10.259944,10.670609,-3.017685
18,4.666667,5,7.333333,0.1,16.189526,7.962197,8.164942,8.451035,-4.730503
19,7.333333,5,7.333333,0.1,14.849017,6.815738,6.982583,7.2087,-6.443319
20,10,5,7.333333,0.1,10.967666,6.054223,6.198935,6.389534,-8.156137
21,2,7.333333,7.333333,0.1,24.826263,6.898091,6.929566,6.984077,-6.951784
22,4.666667,7.333333,7.333333,0.1,13.757584,5.444454,5.471699,5.510123,-11.094837
23,7.333333,7.333333,7.333333,0.1,13.966556,4.639394,4.663568,4.694547,-15.237887
24,10,7.333333,7.333333,0.1,10.64261,4.110491,4.1324,4.158959,-19.380938
25,2,9.666667,7.333333,0.1,18.034048,5.505367,5.555239,5.597618,-10.918051
26,4.666667,9.666667,7.333333,0.1,15.540517,4.352829,4.379401,4.412762,-17.417021
